date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.04.01,S001.M006.01.02,00:30:00,LG4,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.04.01,S001.M006.01.02,00:30:00,LG4,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M005.03.03,S001.M006.01.04,00:30:00,FB2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M005.03.03,S001.M006.01.04,00:30:00,FB2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.01.01,S001.M006.01.05,00:30:00,LD2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.01.01,S001.M006.01.05,00:30:00,LD2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.04.02,S001.M006.02.02,00:30:00,LG2,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.04.02,S001.M006.02.02,00:30:00,LG2,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M005.01.03,S001.M006.02.04,00:30:00,FB1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M005.01.03,S001.M006.02.04,00:30:00,FB1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
16/Oct/2023,05:12:09,05:12:23,S001.M005.03.03,S001.M006.01.04,00:00:14,FB2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.01,S001.M006.01.01,00:30:00,LK2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.04.01,S001.M006.01.02,00:30:00,LG4,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.04.01,S001.M006.01.02,00:30:00,LG4,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.03.01,S001.M006.01.03,00:30:00,LG3,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M005.03.03,S001.M006.01.04,00:30:00,FB2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M005.03.03,S001.M006.01.04,00:30:00,FB2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.01.01,S001.M006.01.05,00:30:00,LD2,4.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.01.01,S001.M006.01.05,00:30:00,LD2,4.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.02.02,S001.M006.02.01,00:30:00,LK1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.04.02,S001.M006.02.02,00:30:00,LG2,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.04.02,S001.M006.02.02,00:30:00,LG2,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.03.02,S001.M006.02.03,00:30:00,LG1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M005.01.03,S001.M006.02.04,00:30:00,FB1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M005.01.03,S001.M006.02.04,00:30:00,FB1,8.0,0
13/Oct/2023,04:30:00,05:00:00,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
13/Oct/2023,04:30:01,05:00:01,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
13/Oct/2023,04:30:02,05:00:02,S001.M004.01.02,S001.M006.02.05,00:30:00,LD1,8.0,0
